Начало игровой сессии
03:30:41 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:30:41 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:2, Growth:3
03:30:41 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
03:30:41 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:0, Draft:3, Growth:2
03:30:48 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:30:48 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:2, Growth:3
03:30:48 - SpeedU:3, ArmorU:2, DamageU:0, ArmorP:0, Draft:2, Growth:3
03:30:48 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:0, Draft:3, Growth:2
Начало игровой сессии
03:30:59 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
03:30:59 - SpeedU:2, ArmorU:3, DamageU:0, ArmorP:3, Draft:0, Growth:2
03:30:59 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:3, Growth:2
03:30:59 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:2, Draft:3, Growth:0
