Начало игровой сессии
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:28:59 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:59 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:28:59 - Список очищен, tag: Enemy1, Точек в списке: 0
02:28:59 - Список очищен, tag: Enemy2, Точек в списке: 0
02:28:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:00 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:00 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:00 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:00 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:00 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:01 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:01 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:01 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:01 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:01 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:02 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:02 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:02 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:02 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:02 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:02 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:02 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:02 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:03 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:03 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:03 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:03 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:03 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:03 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:03 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:03 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:04 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:04 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:04 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:04 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:04 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:04 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:04 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:04 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:05 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:05 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:05 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:05 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:05 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:05 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:05 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:05 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:06 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:06 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:06 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:06 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:06 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:06 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:06 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:06 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 368
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:07 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:29:07 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:08 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:08 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:08 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:08 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:08 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:29:08 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:09 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:09 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:09 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:09 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:09 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:09 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:09 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:09 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:10 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:10 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:10 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:10 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:10 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:10 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:10 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:10 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:11 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:11 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:12 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 1308
02:29:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:12 - Список очищен, tag: Enemy3, Точек в списке: 0
