Начало игровой сессии
22:05:33 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:36 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:37 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:38 - 1Planet: Enemy2, 1Planet: Enemy2
22:05:38 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:38 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:40 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:43 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:43 - 1Planet: Enemy2, 1Planet: Enemy2
22:05:43 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:43 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:45 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:47 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:48 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:48 - 1Planet: Enemy2, 1Planet: Enemy2
22:05:48 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:51 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:51 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:51 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:52 - 1Planet: Enemy2, 1Planet: Enemy2
22:05:53 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:56 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:05:56 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:56 - 1Planet: Enemy2, 1Planet: Enemy2
22:05:56 - 1Planet: Enemy3, 1Planet: Enemy3
22:05:58 - 1Planet: Enemy1, 1Planet: Enemy1
22:05:59 - 1Planet: Enemy3, 1Planet: Enemy3
22:06:00 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:06:00 - 1Planet: Enemy2, 1Planet: Enemy2
22:06:01 - 1Planet: Enemy1, 1Planet: Enemy1
22:06:03 - 1Planet: Enemy2, 1Planet: Enemy2
22:06:04 - 1Planet: Enemy3, 1Planet: Enemy3
22:06:04 - 1Planet: Enemy1, 1Planet: Enemy1
22:06:05 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:06:05 - 1Planet: Enemy2, 1Planet: Enemy2
22:06:06 - 1Planet: Enemy1, 1Planet: Enemy1
22:06:07 - 1Planet: Enemy3, 1Planet: Enemy3
22:06:07 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:06:08 - 1Planet: Enemy1, 1Planet: Enemy1
22:06:09 - 1Planet: Enemy2, 1Planet: Enemy2
22:06:09 - 1Planet: PlayerPlanet, 1Planet: PlayerPlanet
22:06:10 - 1Planet: Enemy3, 1Planet: Enemy3
