Начало игровой сессии
22:09:35 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:09:38 - 1Planet: Enemy3, 2Planet: Enemy3
22:09:39 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:09:39 - 1Planet: Enemy2, 2Planet: Enemy2
22:09:42 - 1Planet: Enemy3, 2Planet: Enemy3
22:09:46 - 1Planet: Enemy2, 2Planet: Enemy2
22:09:46 - 1Planet: Enemy3, 2Planet: Enemy3
22:09:47 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:09:47 - 1Planet: Enemy1, 2Planet: Enemy1
22:09:51 - 1Planet: Enemy2, 2Planet: Enemy2
22:09:51 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:09:51 - 1Planet: Enemy3, 2Planet: Enemy3
22:09:52 - 1Planet: Enemy1, 2Planet: Enemy1
22:09:54 - 1Planet: Enemy2, 2Planet: Enemy2
22:09:54 - 1Planet: Enemy3, 2Planet: Enemy3
22:09:56 - 1Planet: Enemy1, 2Planet: Enemy1
22:09:57 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:09:58 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:00 - 1Planet: Enemy1, 2Planet: Enemy1
22:10:00 - 1Planet: Enemy2, 2Planet: Enemy2
22:10:02 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:03 - 1Planet: Enemy2, 2Planet: Enemy2
22:10:04 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:06 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:10 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:10 - 1Planet: Enemy2, 2Planet: Enemy2
22:10:11 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:14 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:17 - 1Planet: Enemy2, 2Planet: Enemy2
22:10:21 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:22 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:25 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:28 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:29 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:32 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:35 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:39 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:41 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:44 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:47 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:50 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:54 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:56 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:10:56 - 1Planet: Enemy3, 2Planet: Enemy3
22:10:58 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:03 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:06 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:06 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:08 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:12 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:14 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:18 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:20 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:21 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:24 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:27 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:28 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:31 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:33 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:34 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:37 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:38 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:41 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:44 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:48 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:51 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:11:52 - 1Planet: Enemy3, 2Planet: Enemy3
22:11:58 - 1Planet: Enemy3, 2Planet: Enemy3
22:12:01 - 1Planet: Enemy3, 2Planet: Enemy3
22:12:09 - 1Planet: Enemy3, 2Planet: Enemy3
22:12:10 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:13 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:16 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:23 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:26 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:36 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:12:49 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:13:06 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:13:13 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:14:02 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:14:14 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
22:14:20 - 1Planet: PlayerPlanet, 2Planet: PlayerPlanet
