Начало игровой сессии
02:35:21 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:35:21 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:2, Draft:3, Growth:0
02:35:21 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:3, Growth:2
02:35:21 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:2, Draft:0, Growth:3
02:35:21 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:35:21 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:22 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:23 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
Начало игровой сессии
02:35:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:35:42 - SpeedU:2, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:3
02:35:42 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:0, Growth:2
02:35:42 - SpeedU:2, ArmorU:3, DamageU:0, ArmorP:3, Draft:0, Growth:3
02:35:42 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:35:42 - SpeedU:2, ArmorU:0, DamageU:2, ArmorP:3, Draft:2, Growth:3
02:35:42 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:0, Growth:2
02:35:42 - SpeedU:2, ArmorU:3, DamageU:0, ArmorP:3, Draft:0, Growth:3
02:35:42 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:35:42 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:42 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:35:42 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:42 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:35:42 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:42 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:35:42 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:43 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:43 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:43 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:43 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:44 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:44 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:44 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:44 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:45 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:35:45 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:45 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:35:45 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:45 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:45 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:45 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:45 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:46 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:46 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:46 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:46 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:46 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:46 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:46 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:35:46 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:46 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:35:46 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:47 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:47 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:47 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:47 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:47 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:47 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:48 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:48 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:48 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:48 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:49 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:49 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:49 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:49 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:49 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy1, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy2, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy3, Точек в списке: 0
02:35:49 - Список очищен, tag: Enemy3, Точек в списке: 0
