Начало игровой сессии
19:03:13 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:03:13 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:03:13 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:03:13 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:3, Growth:2
19:04:01 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:04:01 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:04:01 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:04:01 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:3, Growth:2
19:06:47 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:06:47 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:06:47 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:2, Draft:3, Growth:0
19:06:47 - SpeedU:0, ArmorU:3, DamageU:2, ArmorP:0, Draft:3, Growth:2
