Начало игровой сессии
02:27:11 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:27:11 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
02:27:11 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
02:27:11 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
02:27:11 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:27:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:15 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:16 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:17 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:18 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:19 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:20 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:21 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:22 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:23 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:24 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:25 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:26 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:27 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:28 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:29 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:30 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:31 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:32 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:27:33 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
