Начало игровой сессии
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
20:38:33 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:0, Draft:0, Growth:0
