Начало игровой сессии
02:45:50 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:45:50 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:45:50 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:45:50 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:45:50 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:45:50 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:50 - Корутина по очистке запущена, tag: Enemy1, Точек в списке: 0
02:45:50 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:50 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:45:50 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:50 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:45:50 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:51 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:51 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:51 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:51 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:52 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:52 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:52 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:52 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:53 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:53 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:53 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:53 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:54 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:54 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:54 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:54 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:54 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:45:54 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:54 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:45:54 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:54 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:45:54 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:54 - Корутина по очистке запущена, tag: PlayerPlanet, Точек в списке: 0
02:45:54 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:55 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:55 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:55 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:55 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:55 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:55 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:56 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:56 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:56 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:56 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:57 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:57 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:57 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:57 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:58 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:58 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:58 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:58 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:59 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy1, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy2, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:45:59 - Список очищен, tag: Enemy2, Точек в списке: 0
