Начало игровой сессии
19:24:32 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:24:32 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:2, Growth:3
19:24:32 - SpeedU:2, ArmorU:3, DamageU:0, ArmorP:3, Draft:2, Growth:0
19:24:32 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:0, Draft:2, Growth:3
19:24:45 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:24:45 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:2, Growth:3
19:24:45 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:0, Growth:2
19:24:45 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:3, Growth:2
19:25:53 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:25:53 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:2, Growth:3
19:25:53 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:0, Growth:2
19:25:53 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:3, Growth:2
19:25:53 - SpeedU:2, ArmorU:0, DamageU:3, ArmorP:3, Draft:0, Growth:2
19:25:53 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:2, Growth:3
19:25:53 - SpeedU:3, ArmorU:0, DamageU:2, ArmorP:3, Draft:0, Growth:2
19:25:53 - SpeedU:0, ArmorU:2, DamageU:3, ArmorP:0, Draft:3, Growth:2
